Time [s],Value,Parity Error,Framing Error
26.9838605s,0x55,,
26.9849025s,0xFE,,
26.9859445s,0x03,,
26.98698625s,0x7C,,
26.98802825s,0x00,,
26.98907025s,0x7F,,
27.1841525s,0xEF,,
27.1851945s,0x55,,
27.1862365s,0xFE,,
27.1872785s,0x03,,
27.1883205s,0x7B,,
27.1893625s,0x00,,
27.1904045s,0x7E,,
27.38478325s,0xEF,,
27.38582525s,0x55,,
27.38686725s,0xFE,,
27.38790925s,0x03,,
27.388951s,0x7C,,
27.389993s,0x00,,
27.391035s,0x7F,,
27.585427s,0xEF,,
27.586469s,0x55,,
27.587511s,0xFE,,
27.588553s,0x04,,
27.589595s,0x77,,
27.59063675s,0x00,,
27.59167875s,0x00,,
27.59272075s,0x7B,,
27.7859665s,0xEF,,
27.7870085s,0x55,,
27.7880505s,0xFE,,
27.7890925s,0x03,,
27.7901345s,0x7C,,
27.7911765s,0x00,,
27.79221825s,0x7F,,
27.98659725s,0xEF,,
27.98763925s,0x55,,
27.98868125s,0xFE,,
27.98972325s,0x03,,
27.99076525s,0x7D,,
27.99180725s,0x00,,
27.992849s,0x80,,
28.18843275s,0xEF,,
28.18947475s,0x55,,
28.19051675s,0xFE,,
28.19155875s,0x03,,
28.19260075s,0x7C,,
28.1936425s,0x00,,
28.1946845s,0x7F,,
28.389578s,0xEF,,
28.39062s,0x55,,
28.391662s,0xFE,,
28.392704s,0x03,,
28.39374575s,0x7A,,
28.39478775s,0x01,,
28.39582975s,0x7E,,
28.5908145s,0xEF,,
28.59185625s,0x55,,
28.59289825s,0xFE,,
28.59394025s,0x03,,
28.59498225s,0x7C,,
28.59602425s,0x00,,
28.59706625s,0x7F,,
28.79146475s,0xEF,,
28.7925065s,0x55,,
28.7935485s,0xFE,,
28.7945905s,0x03,,
